Modelo,Marca,Ano,Quilometragem,Preço
HYUNDAI HB20X PREMIUM 1.6 FLEX 16V AUT.,HYUNDAI,2014,46000,R$ 0
FORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.,FORD,2015,74000,R$ 42.500
GM - CHEVROLET PRISMA SED. LT 1.4 8V FLEXPOWER 4P AUT.,GM - CHEVROLET,2017,39000,R$ 54.800
GM - CHEVROLET SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2015,76610,R$ 48.900
JEEP RENEGADE LONGITUDE 1.8 4X2 FLEX 16V AUT.,JEEP,2020,1,R$ 55.000
GM - CHEVROLET ONIX SEDAN PLUS LT 1.0 12V TB FLEX AUT.,GM - CHEVROLET,2021,0,R$ 40.000
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P AUT.,PEUGEOT,2016,65000,R$ 50.000
FORD FOCUS 1.6 S/1.6 SE FLEX 16V 5P AUT,FORD,2015,79000,R$ 50.000
RENAULT DUSTER DYNAMIQUE 2.0  HI-FLEX 16V AUT.,RENAULT,2014,0,R$ 46.900
FIAT IDEA ESSENCE DUALOGIC 1.6 FLEX 16V 5P,FIAT,2016,39000,R$ 40.900
TOYOTA ETIOS CROSS 1.5 FLEX 16V 5P AUT.,TOYOTA,2017,40000,R$ 52.000
FORD FIESTA SEL 1.6 16V FLEX  AUT. 5P,FORD,2018,30000,R$ 54.000
PEUGEOT 208 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2018,49000,R$ 53.890
HONDA FIT EX/S/EX 1.5 FLEX/FLEXONE 16V 5P AUT.,HONDA,2014,35000,R$ 48.500
GM - CHEVROLET CRUZE LTZ 1.4 16V TURBO FLEX 4P AUT.,GM - CHEVROLET,2017,39000,R$ 0
GM - CHEVROLET TRACKER LTZ 1.8 16V FLEX 4X2 AUT.,GM - CHEVROLET,2015,63000,R$ 0
FORD ECOSPORT SE 1.6 16V FLEX 5P AUT.,FORD,2015,73000,R$ 49.900
MITSUBISHI L200,MITSUBISHI,2021,1,R$ 0
MITSUBISHI OUTLANDER SPORT HPE 4X4 2.0 16V FLEX AUT,MITSUBISHI,2021,0,R$ 0
GM - CHEVROLET COBALT ELITE 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,2017,68000,R$ 52.000
GM - CHEVROLET PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P AUT.,GM - CHEVROLET,2015,0,R$ 44.500
HYUNDAI HB20X STYLE 1.6 FLEX 16V AUT.,HYUNDAI,2014,70040,R$ 50.600
HYUNDAI TUCSON 2.0 16V FLEX AUT.,HYUNDAI,2016,65000,R$ 51.900
VW - VOLKSWAGEN UP! MOVE I MOTION 1.0 T. FLEX 12V 5P,VW - VOLKSWAGEN,2017,70000,R$ 42.900
FORD FOCUS SED. TI./TI.PLUS 2.0 16V FLEX  AUT,FORD,2014,144,R$ 46.500
FORD ECOSPORT SE 2.0 16V FLEX 5P AUT.,FORD,2014,78,R$ 49.500
GM - CHEVROLET COBALT LTZ 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,2017,125,R$ 49.500
CITROEN C4 TENDANCE 2.0 FLEX 16V 5P AUT.,CITROEN,2014,58000,R$ 46.900
HONDA HR-V EXL 1.8 FLEXONE 16V 5P AUT.,HONDA,2017,0,R$ 0
NISSAN SENTRA SV 2.0 FLEXSTART 16V AUT.,NISSAN,2016,38700,R$ 53.500
GM - CHEVROLET S10 PICK-UP LTZ 2.8 TDI 4X4 CD DIES.AUT,GM - CHEVROLET,2021,3000,R$ 0
FORD FOCUS GHIA  2.0 16V/ 2.0 16V FLEX 5P AUT,FORD,2020,45000,R$ 30.000
CITROEN AIRCROSS LIVE 1.6 FLEX 16V 5P AUT.,CITROEN,2017,69000,R$ 49.900
VW - VOLKSWAGEN UP! MOVE I MOTION 1.0 T. FLEX 12V 5P,VW - VOLKSWAGEN,2015,70000,R$ 20.000
CITROEN C3 TENDANCE 1.6 VTI FLEX START 16V AUT.,CITROEN,2015,54000,R$ 39.900
FORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.,FORD,2015,71000,R$ 40.900
GM - CHEVROLET CRUZE HB SPORT LT 1.8 16V FLEXP. 5P AUT,GM - CHEVROLET,2014,73000,R$ 53.900
CITROEN C4 LOUNGE EXCLUSIVE 1.6 TURBO FLEX AUT.,CITROEN,2015,0,R$ 51.900
HONDA HR-V LX 1.8 FLEXONE 16V 5P AUT.,HONDA,2020,42900,R$ 0
VW - VOLKSWAGEN GOL TRACK 1.0 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,2018,50000,R$ 44.500
TOYOTA COROLLA ALTIS 2.0 FLEX 16V AUT.,TOYOTA,2017,58300,R$ 0
HYUNDAI HB20 PREMIUM 1.6 FLEX 16V AUT.,HYUNDAI,2015,60000,R$ 54.900
FORD FIESTA SED. TI./TI.PLUS1.6 16V FLEX AUT.,FORD,2016,42200,R$ 50.000
HYUNDAI TUCSON 2.0 16V FLEX AUT.,HYUNDAI,2017,68000,R$ 53.990
HYUNDAI TUCSON 2.0 16V AUT.,HYUNDAI,2015,0,R$ 49.900
HYUNDAI TUCSON 2.0 16V FLEX AUT.,HYUNDAI,2015,127,R$ 48.500
CITROEN C4 TENDANCE 2.0 FLEX 16V 5P AUT.,CITROEN,2015,110,R$ 44.900
JAC T6 2.0 JET FLEX 5P MEC.,JAC,2016,62863,R$ 46.900
HYUNDAI HB20S PREMIUM 1.6 FLEX 16V AUT. 4P,HYUNDAI,2016,75000,R$ 54.900
FORD FIESTA 1.6 16V FLEX AUT. 5P,FORD,2015,80000,R$ 43.900
PEUGEOT 308 ALLURE 2.0 FLEX 16V 5P AUT.,PEUGEOT,2015,76000,R$ 42.000
MITSUBISHI LANCER HLE 2.0 16V 160CV AUT.,MITSUBISHI,2016,93,R$ 53.000
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2015,58971,R$ 47.900
PEUGEOT 308 ALLURE 2.0 FLEX 16V 5P AUT.,PEUGEOT,2014,77000,R$ 40.900
TOYOTA ETIOS XS 1.5 FLEX 16V 5P AUT.,TOYOTA,2018,50000,R$ 50.900
MITSUBISHI ASX,MITSUBISHI,2021,0,R$ 0
GM - CHEVROLET SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2016,63500,R$ 48.900
HYUNDAI TUCSON 2.0 16V FLEX AUT.,HYUNDAI,2015,70000,R$ 43.000
VW - VOLKSWAGEN SPACEFOX COMF. I MOTION 1.6 FLEX 8V 5P,VW - VOLKSWAGEN,2015,65,R$ 47.500
FIAT UNO SPORTING 1.4 EVO FIRE FLEX 8V 4P,FIAT,2016,42600,R$ 38.900
FORD FOCUS TITA/TITA PLUS 2.0  FLEX 5P AUT.,FORD,2015,62000,R$ 55.000
GM - CHEVROLET SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2015,61500,R$ 49.900
CITROEN C4 LOUNGE TENDANCE 1.6 TURBO FLEX AUT.,CITROEN,2017,54500,R$ 55.000
,,,,
FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2014,62000,R$ 52.900
FIAT PALIO ESSENCE DUALOGIC 1.6 FLEX 16V 5P,FIAT,2014,60,R$ 32.900
CITROEN C3 EXCLUSIVE 1.5 FLEX 8V 5P MEC.,CITROEN,2016,57000,R$ 45.000
GM - CHEVROLET SPIN ACTIV 1.8 8V ECONO. FLEX 5P AUT.,GM - CHEVROLET,2016,26000,R$ 45.000
FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2014,67,R$ 48.000
GM - CHEVROLET COBALT ELITE 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,2017,48000,R$ 53.800
FORD SEDAN TITANIUM 1.6 POWERSHIFT,FORD,2014,60300,R$ 47.900
RENAULT SANDERO STEP. EASY R DYN. FLEX 1.6 16V,RENAULT,2019,28000,R$ 52.900
FORD ECOSPORT TITANIUM 2.0 16V FLEX 5P AUT.,FORD,2014,69000,R$ 46.990
HONDA HR-V EXL 1.8 FLEXONE 16V 5P AUT.,HONDA,2016,69000,R$ 0
HONDA FIT EX/S/EX 1.5 FLEX/FLEXONE 16V 5P AUT.,HONDA,2016,49000,R$ 0
HONDA CIVIC SEDAN TOURING 1.5 TURBO 16V AUT.4P,HONDA,2018,58000,R$ 0
GM - CHEVROLET COBALT LTZ 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,2020,14000,R$ 0
FORD FOCUS SEDAN 2.0 16V/2.0 16V FLEX 4P AUT.,FORD,2015,56000,R$ 48.900
TOYOTA YARIS XLS 1.5 FLEX 16V 5P AUT.,TOYOTA,2019,11000,R$ 0
MITSUBISHI OUTLANDER SPORT HPE 2.0 16V FLEX AUT,MITSUBISHI,2021,1,R$ 0
GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2014,1,R$ 49.000
FORD ECOSPORT TITANIUM 2.0 16V FLEX 5P AUT.,FORD,2014,31000,R$ 54.900
GM - CHEVROLET SPIN ACTIV 1.8 8V ECONO. FLEX 5P AUT.,GM - CHEVROLET,2016,58000,R$ 51.300
PEUGEOT 2008,PEUGEOT,2018,45000,R$ 50.000
FIAT IDEA ADV./ ADV.LOCK.DUALOGIC 1.8 FLEX 5P,FIAT,2014,59000,R$ 37.900
RENAULT SANDERO EXPRES. EASYR FLEX 1.6 16V 5P,RENAULT,2018,75000,R$ 37.000
FORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.,FORD,2014,71000,R$ 41.900
GM - CHEVROLET SPIN ADVANTAGE 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2015,78700,R$ 41.990
FORD FOCUS TITA/TITA PLUS 2.0  FLEX 5P AUT.,FORD,2015,74000,R$ 54.500
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,2018,39700,R$ 0
RENAULT SANDERO STEPWAY HI-FLEX 1.6 16V 5P AUT.,RENAULT,2014,55000,R$ 32.500
MITSUBISHI ECLIPSE CROSS HPE-S OUTDOOR 1.5 AWC AUT,MITSUBISHI,2020,0,R$ 0
FORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.,FORD,2014,63000,R$ 42.900
GM - CHEVROLET SPIN LT 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2016,45000,R$ 51.500
NISSAN ALTIMA SL 2.5 16V 4P AUT.,NISSAN,2014,63000,R$ 48.000
TOYOTA ETIOS X 1.3 FLEX 16V 5P AUT.,TOYOTA,2018,42000,R$ 51.800
FORD FOCUS TITA/TITA PLUS 2.0  FLEX 5P AUT.,FORD,2014,77000,R$ 50.000
HONDA FIT LX 1.4/ 1.4 FLEX 8V/16V 5P AUT.,HONDA,2015,80000,R$ 52.500
GM - CHEVROLET ONIX HATCH LT 1.4 8V FLEXPOWER 5P AUT.,GM - CHEVROLET,2014,73000,R$ 38.500
RENAULT FLUENCE SED. DYNAMIQUE 2.0 16V FLEX AUT.,RENAULT,2014,48754,R$ 20.000
GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2014,71614,R$ 40.000
GM - CHEVROLET CRUZE LT 1.4 16V TURBO FLEX 4P AUT.,GM - CHEVROLET,2016,25141,R$ 25.000
,CITROEN,2014,75000,R$ 32.200
GM - CHEVROLET ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.,GM - CHEVROLET,2018,33,R$ 0
GM - CHEVROLET SPIN ACTIV 1.8 8V ECONO. FLEX 5P AUT.,GM - CHEVROLET,2016,70000,R$ 48.799
FORD FOCUS SED. TI./TI.PLUS 2.0 16V FLEX  AUT,FORD,2015,71500,R$ 54.900
FORD ECOSPORT TITANIUM 2.0 16V FLEX 5P AUT.,FORD,2014,47000,R$ 49.900
FORD FIESTA 1.6 16V FLEX AUT. 5P,FORD,2015,53000,R$ 43.900
PEUGEOT 2008 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2017,57000,R$ 51.900
LIFAN X60 VIP 1.8 16V 128CV 5P AUT.,LIFAN,2018,54900,R$ 54.900
FORD FOCUS TITA/TITA PLUS 2.0  FLEX 5P AUT.,FORD,2014,73000,R$ 50.900
HYUNDAI HB20 C.STYLE/C.PLUS 1.6 FLEX 16V AUT.,HYUNDAI,2016,50900,R$ 47.900
FORD FIESTA SEDAN 1.6 16V FLEX AUT.,FORD,2014,49000,R$ 35.500
FORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.,FORD,2016,1111,R$ 51.000
FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2015,34300,R$ 41.900
NISSAN SENTRA SL 2.0/ 2.0 FLEX FUEL 16V AUT.,NISSAN,2015,78000,R$ 55.000
MITSUBISHI PAJERO HPE FULL 3.2 4X4 T.I.DIES. 5P AUT,MITSUBISHI,2020,0,R$ 0
HYUNDAI HB20 PREMIUM 1.6 FLEX 16V AUT.,HYUNDAI,2015,47000,R$ 46.950
HONDA FIT CX 1.4 FLEX 16V 5P AUT.,HONDA,2014,69500,R$ 39.000
TOYOTA ETIOS PLATINUM 1.5 FLEX 16V 4P AUT.,TOYOTA,2017,61,R$ 50.500
VW - VOLKSWAGEN GOLF SPORTLINE 2.0 MI TOTAL F. 8V TIP.,VW - VOLKSWAGEN,2014,62000,R$ 51.900
RENAULT SANDERO STEP. EASY R H-POWER 1.6 8V,RENAULT,2015,59000,R$ 43.990
PEUGEOT 308 ALLURE 2.0 FLEX 16V 5P AUT.,PEUGEOT,2016,22120,R$ 49.500
HYUNDAI 2.0 MPFI GLS 16V 143CV 2WD FLEX 4P AUT,HYUNDAI,2014,75000,R$ 45.000
MITSUBISHI ASX 2.0 16V 160CV AUT.,MITSUBISHI,2014,59000,R$ 48.900
FORD FOCUS TITA/TITA PLUS 2.0  FLEX 5P AUT.,FORD,2014,108,R$ 49.900
HYUNDAI TUCSON 2.0 16V FLEX AUT.,HYUNDAI,2016,73000,R$ 53.900
MITSUBISHI L200 TRITON SPORT GLS 2.4 CD DIESEL AUT.,MITSUBISHI,2021,0,R$ 0
FIAT PUNTO BLACKMOTION DUAL. 1.8 FLEX 16V 5P,FIAT,2015,70000,R$ 43.500
HYUNDAI HB20 C.STYLE/C.PLUS 1.6 FLEX 16V AUT.,HYUNDAI,2015,67000,R$ 40.800
FORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.,FORD,2014,77000,R$ 42.900
FORD FOCUS SED. TI./TI.PLUS 2.0 16V FLEX  AUT,FORD,2014,70000,R$ 51.150
FIAT CRONOS DRIVE GSR 1.3 8V FLEX,FIAT,2019,18000,R$ 53.900
FORD TITANIUM 1.6 POWERSHIFT AUT.,FORD,2015,27000,R$ 44.000
VW - VOLKSWAGEN VOYAGE I MOTION 1.6 MI TOTAL FLEX 8V,VW - VOLKSWAGEN,2014,40000,R$ 30.000
VW - VOLKSWAGEN FOX HIGHLINE1.6 FLEX 16V 5P,VW - VOLKSWAGEN,2015,55000,R$ 46.500
HYUNDAI HB20S C.STYLE/C.PLUS1.6 FLEX 16V AUT. 4P,HYUNDAI,2016,78000,R$ 53.900
RENAULT SANDERO PRIVILÈGE HI-FLEX 1.6 16V 5P AUT,RENAULT,2014,65000,R$ 34.000
GM - CHEVROLET SONIC HB LTZ 1.6 16V FLEXPOWER 5P AUT.,GM - CHEVROLET,2014,79000,R$ 36.900
GM - CHEVROLET COBALT GRAPHITE 1.8 8V ECONO.FLEX 4P AUT,GM - CHEVROLET,2015,55992,R$ 38.000
GM - CHEVROLET TRACKER LT 1.8 16V FLEX 4X2 AUT.,GM - CHEVROLET,2016,41500,R$ 54.900
GM - CHEVROLET ONIX HATCH ADVANTAGE 1.4 8V FLEX 5P AUT.,GM - CHEVROLET,2018,23000,R$ 52.000
VW - VOLKSWAGEN CROSSFOX  I MOTION 1.6 T. FLEX 16V 5P,VW - VOLKSWAGEN,2017,26000,R$ 54.900
GM - CHEVROLET SPIN ADVANTAGE 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2017,65000,R$ 47.500
CITROEN C4 LOUNGE EXCLUSIVE 1.6 TURBO 4P AUT.,CITROEN,2014,78500,R$ 47.999
GM - CHEVROLET PRISMA SED. LT 1.4 8V FLEXPOWER 4P AUT.,GM - CHEVROLET,2015,65420,R$ 40.000
FORD FIESTA 1.6 16V FLEX AUT. 5P,FORD,2014,72000,R$ 38.900
GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2015,49,R$ 47.500
FORD ECOSPORT FREESTYLE 2.0 16V FLEX 5P AUT.,FORD,2015,47000,R$ 52.700
HYUNDAI 2.0 MPFI GLS 16V 143CV 2WD FLEX 4P AUT,HYUNDAI,2015,76542,R$ 45.900
HYUNDAI HB20S C.STYLE/C.PLUS1.6 FLEX 16V AUT. 4P,HYUNDAI,2015,54000,R$ 42.000
PEUGEOT 308 ALLURE 2.0 FLEX 16V 5P AUT.,PEUGEOT,2014,70000,R$ 37.000
FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2015,73409,R$ 49.900
FORD FOCUS TITA/TITA PLUS 2.0  FLEX 5P AUT.,FORD,2015,65000,R$ 54.900
GM - CHEVROLET PRISMA SED. LT 1.4 8V FLEXPOWER 4P,GM - CHEVROLET,2017,54000,R$ 48.900
HYUNDAI HB20S C.STYLE/C.PLUS1.6 FLEX 16V AUT. 4P,HYUNDAI,2015,72000,R$ 44.900
HYUNDAI TUCSON,HYUNDAI,2016,54000,R$ 54.900
RENAULT STEPWAY INTENSE FLEX 1.6 16V AUT.,RENAULT,2015,55000,R$ 43.000
GM - CHEVROLET COBALT LTZ 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,2015,160,R$ 37.500
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2019,25800,R$ 53.800
RENAULT LOGAN DYNAMIQUE EASYR FLEX 1.6 16V 4P,RENAULT,2015,79158,R$ 31.990
CITROEN AIRCROSS EXCLUSIVE 1.6 FLEX 16V 5P AUT.,CITROEN,2015,73000,R$ 39.900
GM - CHEVROLET PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P AUT.,GM - CHEVROLET,2017,80000,R$ 50.000
GM - CHEVROLET COBALT ADVANTAGE 1.8 8V ECO.FLEX 4P AUT.,GM - CHEVROLET,2014,0,R$ 40.000
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT.,HONDA,2015,72470,R$ 49.900
FORD FIESTA SED. TI./TI.PLUS1.6 16V FLEX AUT.,FORD,2016,79000,R$ 54.800
VW - VOLKSWAGEN POLO I MOTION 1.6 TOTAL FLEX  5P,VW - VOLKSWAGEN,2014,68000,R$ 33.900
CITROEN AIRCROSS TENDANCE 1.6 FLEX 16V 5P AUT.,CITROEN,2015,36000,R$ 40.900
GM - CHEVROLET CRUZE LTZ 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2014,70600,R$ 51.870
HYUNDAI HB20 C.STYLE/C.PLUS 1.6 FLEX 16V AUT.,HYUNDAI,2016,50000,R$ 47.900
TOYOTA HILUX,TOYOTA,2018,36000,R$ 0
TOYOTA HILUX SW4 SRX 4X4 2.8 TDI 16V DIES. AUT.,TOYOTA,2019,33000,R$ 0
CHERY TIGGO 2 ACT 1.5 16V FLEX AUT.5P,CHERY,2019,25000,R$ 38.000
JEEP RENEGADE SPORT 1.8 4X2 FLEX 16V AUT.,JEEP,2018,23000,R$ 30.000
GM - CHEVROLET SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2016,72320,R$ 52.900
FORD FIESTA 1.6 16V FLEX AUT. 5P,FORD,2014,40800,R$ 38.500
VW - VOLKSWAGEN FOX CONNECT I MOTION 1.6 FLEX 8V 5P,VW - VOLKSWAGEN,2019,50000,R$ 46.000
GM - CHEVROLET PRISMA SED. LT 1.4 8V FLEXPOWER 4P AUT.,GM - CHEVROLET,2017,74000,R$ 54.900
FIAT BRAVO SPORTING 1.8 DUALOGIC FLEX 16V 5P,FIAT,2014,118,R$ 38.000
VW - VOLKSWAGEN POLO HIGHLINE 200 TSI 1.0 FLEX 12V AUT.,VW - VOLKSWAGEN,2019,27000,R$ 45.000
GM - CHEVROLET CRUZE SPORT PREMIER 1.4 16V TB FLEX AUT,GM - CHEVROLET,2020,0,R$ 0
FIAT IDEA ADV./ ADV.LOCK.DUALOGIC 1.8 FLEX 5P,FIAT,2016,18000,R$ 49.900
GM - CHEVROLET COBALT ADVANTAGE 1.8 8V ECO.FLEX 4P AUT.,GM - CHEVROLET,2015,12000,R$ 45.900
FIAT PALIO WEEK.ADV.LOCK.DUALOGIC 1.8 FLEX,FIAT,2017,57683,R$ 48.900
NISSAN MARCH SL 1.6 16V FLEXSTART 5P AUT.,NISSAN,2018,30000,R$ 52.900
RENAULT DUSTER DYNAMIQUE 2.0  HI-FLEX 16V AUT.,RENAULT,2014,77400,R$ 50.000
NISSAN SENTRA S 2.0 FLEXSTART 16V AUT.,NISSAN,2015,140,R$ 48.900
TOYOTA HILUX SW4 SRX 4X4 2.8 TDI 16V DIES. AUT.,TOYOTA,2018,39000,R$ 0
CITROEN C4 LOUNGE EXCLUSIVE 1.6 TURBO 4P AUT.,CITROEN,2014,0,R$ 48.000
PEUGEOT 2008 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2017,23900,R$ 0
HYUNDAI IX35 GLS 2.0 16V 2WD FLEX AUT.,HYUNDAI,2014,69000,R$ 0
CITROEN C4 LOUNGE EXCLUSIVE 1.6 TURBO FLEX AUT.,CITROEN,2016,77000,R$ 55.000
HONDA FIT EX/S/EX 1.5 FLEX/FLEXONE 16V 5P AUT.,HONDA,2016,77776,R$ 48.000
HYUNDAI HB20S C.STYLE/C.PLUS1.6 FLEX 16V AUT. 4P,HYUNDAI,2015,100,R$ 44.000
VW - VOLKSWAGEN SPACEFOX  TREND I MOTION 1.6 T. FLEX 8V,VW - VOLKSWAGEN,2016,64000,R$ 45.000
HYUNDAI HB20X PREMIUM 1.6 FLEX 16V AUT.,HYUNDAI,2014,70000,R$ 45.000
TOYOTA HILUX SW4 SRX 4X4 2.8 TDI 16V DIES. AUT.,TOYOTA,2017,1,R$ 0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P AUT.,PEUGEOT,2015,53000,R$ 47.900
FIAT ARGO DRIVE 1.3 FIREFLY GSR,FIAT,2018,50000,R$ 52.900
FORD FOCUS TITA/TITA PLUS 2.0  FLEX 5P AUT.,FORD,2014,10,R$ 47.000
PEUGEOT 208,PEUGEOT,2015,40,R$ 0
FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2016,80000,R$ 53.499
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2017,30000,R$ 54.900
HYUNDAI ELANTRA GLS 2.0 16V FLEX AUT.,HYUNDAI,2014,77000,R$ 53.500
FORD FOCUS TITA/TITA PLUS 2.0  FLEX 5P AUT.,FORD,2014,78000,R$ 51.000
FIAT LINEA ABSOLUTE 1.9/1.8 FLEX DUALOGIC 4P,FIAT,2015,59000,R$ 33.990
GM - CHEVROLET ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.,GM - CHEVROLET,2017,79000,R$ 47.900
FORD FOCUS 1.6 S/1.6 SE FLEX 16V 5P AUT,FORD,2015,66000,R$ 49.900
FIAT BRAVO SPORTING 1.8 DUALOGIC FLEX 16V 5P,FIAT,2016,47000,R$ 50.900
RENAULT DUSTER TECHROAD 2.0 HI-FLEX 16V AUT.,RENAULT,2014,47000,R$ 45.000
HYUNDAI TUCSON 2.0 16V FLEX AUT.,HYUNDAI,2016,58000,R$ 53.900
GM - CHEVROLET ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.,GM - CHEVROLET,2015,69000,R$ 45.500
VW - VOLKSWAGEN GOL 1.0 TREND/ POWER 8V 4P,VW - VOLKSWAGEN,2015,20000,R$ 32.000
GM - CHEVROLET COBALT,GM - CHEVROLET,2016,69000,R$ 46.000
HYUNDAI TUCSON,HYUNDAI,2016,54000,R$ 54.900
FORD ECOSPORT FREESTYLE 2.0 16V FLEX 5P AUT.,FORD,2015,68000,R$ 53.900
FORD FOCUS SEDAN 2.0 16V/2.0 16V FLEX 4P,FORD,2014,113,R$ 43.900
VW - VOLKSWAGEN SPACEFOX  TREND I MOTION 1.6 T. FLEX 8V,VW - VOLKSWAGEN,2014,78337,R$ 32.500
GM - CHEVROLET COBALT LT 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,2015,57000,R$ 38.500
HYUNDAI HB20 C.STYLE/C.PLUS 1.6 FLEX 16V AUT.,HYUNDAI,2015,35000,R$ 43.500
CITROEN AIRCROSS SHINE 1.6 FLEX 16V 5P AUT.,CITROEN,2017,41000,R$ 53.900
TOYOTA ETIOS XS 1.5 FLEX 16V 5P AUT.,TOYOTA,2018,75000,R$ 45.900
HONDA FIT EXL 1.5 FLEX/FLEXONE 16V 5P AUT,HONDA,2016,777,R$ 50.000
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P AUT.,PEUGEOT,2016,48000,R$ 48.900
GM - CHEVROLET SPIN ACTIV 1.8 8V ECONO. FLEX 5P AUT.,GM - CHEVROLET,2016,59000,R$ 50.900
PEUGEOT 2008 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2017,80000,R$ 50.000
CITROEN AIRCROSS SHINE 1.6 FLEX 16V 5P AUT.,CITROEN,2016,22000,R$ 49.000
FORD FOCUS 2.0 16V/ 2.0 16V FLEX 5P,FORD,2015,55000,R$ 49.000
HYUNDAI HB20 C./C.PLUS/C.STYLE 1.6 FLEX 16V MEC.,HYUNDAI,2015,38250,R$ 39.000
,,,,
RENAULT SANDERO EXPRESSION HI-FLEX 1.6 8V 5P,RENAULT,2016,25000,R$ 28.000
HYUNDAI HB20S C.STYLE/C.PLUS1.6 FLEX 16V AUT. 4P,HYUNDAI,2019,17000,R$ 35.000
FORD FOCUS SEDAN 2.0 16V/2.0 16V FLEX 4P AUT.,FORD,2014,80000,R$ 49.000
FIAT PUNTO ESSENCE SP DUALOGIC 1.6 FLEX 16V,FIAT,2016,75000,R$ 40.000
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P AUT.,PEUGEOT,2014,76000,R$ 33.500
HYUNDAI 2.0 MPFI GLS 16V 143CV 2WD FLEX 4P AUT,HYUNDAI,2015,65700,R$ 47.000
FORD FIESTA SEL 1.6 16V FLEX  AUT. 5P,FORD,2017,45000,R$ 42.500
CITROEN C3 EXCL. 1.6 VTI FLEX START 16V 5P AUT.,CITROEN,2014,0,R$ 36.000
TOYOTA ETIOS PLATINUM 1.5 FLEX 16V 4P AUT.,TOYOTA,2019,67,R$ 52.800
VW - VOLKSWAGEN VOYAGE I MOTION 1.6 MI TOTAL FLEX 8V,VW - VOLKSWAGEN,2014,78000,R$ 35.900
RENAULT SANDERO,RENAULT,2014,80000,R$ 39.900
PEUGEOT 2008 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2016,80000,R$ 50.000
GM - CHEVROLET CELTA SPIRIT/ LT 1.0 MPFI 8V FLEXP. 5P,GM - CHEVROLET,2014,50050,R$ 22.000
GM - CHEVROLET ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.,GM - CHEVROLET,2015,72803,R$ 48.900
