Modelo,Marca,Ano,Quilometragem,Preço
HONDA FIT LX 1.4/ 1.4 FLEX 8V/16V 5P AUT.,HONDA,2014,66217,R$ 38.900
HONDA FIT EX/S/EX 1.5 FLEX/FLEXONE 16V 5P AUT.,HONDA,2015,65000,R$ 55.000
RENAULT SANDERO,RENAULT,2014,76600,R$ 39.900
RENAULT SANDERO EXPRESSION HI-POWER 1.6 8V 5P,RENAULT,2015,69000,R$ 35.900
HYUNDAI TUCSON 2.0 16V FLEX AUT.,HYUNDAI,2014,79000,R$ 47.900
HONDA WR-V EXL 1.5 FLEXONE 16V 5P AUT.,HONDA,2018,26000,R$ 0
FORD FOCUS 1.6 S/SE/SE PLUS FLEX 8V/16V  5P,FORD,2015,62,R$ 48.000
CHERY TIGGO 2.0 16V AUT. 5P,CHERY,2015,70000,R$ 39.500
GM - CHEVROLET TRACKER PREMIER 1.4 TURBO 16V FLEX AUT,GM - CHEVROLET,2018,33000,R$ 0
MITSUBISHI LANCER 2.0 16V 160CV AUT.,MITSUBISHI,2014,50700,R$ 47.500
FORD SE 1.6 POWERSHIFT AUT.,FORD,2015,77800,R$ 39.800
GM - CHEVROLET PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P AUT.,GM - CHEVROLET,2014,65000,R$ 44.900
GM - CHEVROLET COBALT ELITE 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,2018,48000,R$ 50.000
HYUNDAI HB20S PREMIUM 1.6 FLEX 16V AUT. 4P,HYUNDAI,2015,1,R$ 0
CITROEN C3,CITROEN,2016,25249,R$ 45.000
CITROEN C4 LOUNGE S 1.6 TURBO FLEX AUT.,CITROEN,2017,78000,R$ 52.900
CITROEN C3 PICASSO TENDANCE 1.6 FLEX 16V 5P AUT.,CITROEN,2015,64000,R$ 37.000
FORD FOCUS TITA/TITA PLUS 2.0  FLEX 5P AUT.,FORD,2014,69650,R$ 54.000
HONDA WR-V EXL 1.5 FLEXONE 16V 5P AUT.,HONDA,2020,8500,R$ 0
RENAULT DUSTER DYNAMIQUE 2.0  HI-FLEX 16V AUT.,RENAULT,2014,73000,R$ 42.000
GM - CHEVROLET ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.,GM - CHEVROLET,2015,1,R$ 45.990
SUZUKI SX4 2.0 16V 145CV 4WD 5P AUT.,SUZUKI,2014,65000,R$ 41.000
CITROEN AIRCROSS FEEL 1.6 FLEX 16V 5P AUT.,CITROEN,2016,64018,R$ 50.900
GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2014,80000,R$ 52.900
VW - VOLKSWAGEN SPACEFOX COMF. I MOTION 1.6 FLEX 8V 5P,VW - VOLKSWAGEN,2016,73000,R$ 45.950
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P AUT.,PEUGEOT,2016,69856,R$ 52.900
FORD 1.6 SE HATCH 16V FLEX 4P POWERSHIFT,FORD,2015,79000,R$ 40.990
GM - CHEVROLET TRACKER PREMIER 1.4 TURBO 16V FLEX AUT,GM - CHEVROLET,2019,13000,R$ 0
FIAT 500 SPORT AIR 1.4 16V/1.4 FLEX 16V AUT.,FIAT,2014,56133,R$ 45.900
FORD ECOSPORT XLT FREESTYLE 2.0 FLEX 16V 5P,FORD,2015,47000,R$ 52.000
RENAULT SANDERO STEPWAY HI-FLEX 1.6 16V 5P AUT.,RENAULT,2014,54670,R$ 35.890
FORD FIESTA 1.6 16V FLEX AUT. 5P,FORD,2014,96,R$ 37.500
GM - CHEVROLET PRISMA SED. LT 1.4 8V FLEXPOWER 4P,GM - CHEVROLET,2017,47000,R$ 54.900
HYUNDAI HB20X STYLE 1.6 FLEX 16V AUT.,HYUNDAI,2014,0,R$ 47.900
HYUNDAI HB20S PREMIUM 1.6 FLEX 16V AUT. 4P,HYUNDAI,2014,75000,R$ 45.900
GM - CHEVROLET SPIN LT 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2014,68000,R$ 45.900
